Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
are under a “Rampage” effect with the goal of draining Blood. You gain the feat “Vicious Bite,Races,,,,,,,,"aether) Tag target. If successful, the target takes 10 direct damage and you drink 10 “Blood” instantly.” Also gain the ability Messy Feeding: Can use on a target in their first or Second Stage Death Count. RP ripping the body apart for 15 seconds. Target is affected by “killing blow” (drop to Third Stage Death Count), and you drink 5 Blood. Draining at least 1 point of “Blood” stops the Rampage but does not end Blood Frenzy. Drinking 10 “Blood” ends Blood Frenzy and raises the pool caps back to normal.”"
diseases that you are affected by are delayed until rat form ends. You gain the feat “Infectious Bite,Races,,,,,,,,steam) Tag target. All
Poisons and diseases on yourself are transferred to the target.” You also gain the feat “Canine Madness,Races,,,,,,,,4 Steam) Tag Target. Target takes a “Rampage” effect for 1 minute. This counts as a Humor of the Blood Current.” (Strigoi) ● Vile Coating: You gain the ability to add “Direct” to damage strikes by spending +4 steam per attack. (Nosferatu).
"Additionally, you gain the spell “Vampire’s Rule",Races,,,,,3,,,"Bolt spell. Target Unnatural Creature is “Dominated” to you for 15 minutes. You may have up to 3 undead dominated to you at one time in this way.” If you have “Blood Ties” both parts of this racial also apply to beings who normally are only affected by beneficial unnatural targeting abilities. (Vampire) ● Master of Beasts: You are neutral to most natural creatures, this does not work on Lycanthropes. Natural creatures will not attack you. If you attack them, this effect ends for all natural creatures in the immediate combat."
"Additionally, you gain the talent “Enrage Beast",Races,,,,,,,,"RP with target natural creature for 10 seconds. The natural creature is effected by a “Rampage” effect for 1 minute, however they will not attack you during that time.” Click For Table of Contents"
"target for feeding to its master. Additionally, you can perfect aim cast the following spell at them: “Serve me",Races,,,,,,,,Use: 5 Aether) Target is Dominated to you for 15 minutes.” (Nosferatu).
gain the feat “Bestial Fear,Races,,,,4,,,,". RP for 10 seconds. Choose 3 targets. Targets are affected by “Fear” and “Terror” for 1 minute.” You can also use “Fly: Concentrate for 10 seconds, and then begin to fly. While flying you must walk heel-to-toe and are effectively “Invisible” (but do not detect as invisible). You may end this effect at any point by “landing” or attacking a target.” In this form, you can talk as normal. This transformation can last up to 3 hours. ● Messy Feeding: Talent. Can use on a target in their first or Second Stage Death Count. RP ripping the body apart for 15seconds. Target is affected by “killing blow” (drop to Third Stage Death Count), and you drink 5 Blood. ● Thing of Nightmares: You are immune to Fear, Terror, and Slowness effects. Nosferatu (requires 3+ Nosferatu related racials) Costuming: Black dripping eye makeup and black veins. Optional: Rotting skin. ● Dead Nerves: You are immune to Pain, Bleed, and Rampage effects. ● No Stranger to Death: You may choose to resurrect anywhere; it does not have to be from an Archway. If you choose to resurrect from an Archway, you come out with a group of Undead NPCs that are under your control for up to 30 minutes (before they turn to dust), and the Archway becomes corrupted. Also, once per weekend, in any stage of your Death Count, you may choose to heal yourself for 10 Vaea (this can heal from Third Stage as a life effect, but does not count against your life effect for the weekend), and you can move up to 10 feet from where you dropped, to appear somewhere else alive. ● Disease Carrier: Choose one humor from the “Rite of Disease” ritual in Journeyman Divine. Once per period, you may deliver this humor through packet toss or weapon strike at no cost."
Aetherwise,Races,,,,,,,,"Costuming: Dependent on elf type. Tuatha: More elaborate face markings of blue, purple, or green, and you may also have light blue hair in addition to the markings if you wish. Ondine: White hair and pale skin, and your previous facial markings are now optional. ● Nexial Twister - Once per period, you may call “Greater Nexial Twister.” This can be defended against as a Greater Arcane spell. All targets in line of effect, including yourself, are affected by Greater Imprisonment. You may exclude any targets of your choice from being affected by spending 2 Aether per target. The Imprisonment lasts for 1 minute. ● Aetherian Power - You gain an Aether Efficiency. ● Living Leyline - Whenever your Aether is restored by any means except by the Power Surge, you restore that much plus 1 Aether instead."
Murkshade,Races,,,,,,,,"Costuming: Dependent on elf type. Drau: White hair and either dark purple or dark blue skin, and your previous facial markings are now optional. Hauflin: Even longer ears and either white or yellow facial markings. Click For Table of Contents"
Furyguard,Races,,,,,,,,"Costuming: Dependent on elf type. Rek’ah: Red hair and grey skin, and your previous facial markings are now optional. Sylphid: Insect wings and small horns. ● Boudica’s Mark - Once per Period, choose a character and spend at least 5 seconds declaring them the enemy of the Furyguard. For 1 hour or until that target becomes Incapacitated or enters their Death Count, you have +4 natural armor and soak against their attacks and you and all other elves in line of effect of you geal +2 damage with all attacks against that target. The damage bonus does not stack if multiple Boudica’s Marks from different Furyguard Paragons are placed on the same target. ● Furyian Power - You gain two Master Weapon Proficiencies. ● Fury Strike - Talent. Spend 10 seconds concentrating. The next physical strike does x2 damage. The strike must be delivered within 30 seconds or it fades. This strike cannot be combined with Feats. Call: “Fury Strike, (damage)!”"
● Insatiable Appetite,Races,,,,,,,,a meal. You heal 10 Steam and 10 Aether. (Broodar). ● Rough Rider: You gain +2 backstab proficiencies. (Skullduggers).
Knockers,Races,,,,,,,,"Costuming: Long pointed ears. ● Salvage Master: Any “Gather Components”, “Dissect Components” or “Salvage Components” skill that gets you components, now gets you +2 more Components of the same rarity. Additionally, you gain a Device Efficiency. ● Like Minds: When working on a crafting project, gain a time and pool efficiency for each person (regardless of race) with the “Professional” Apprentice Title and you gain a time and pool efficiency of 2 for each Gork with the “Professional” Apprentice Title that are at the same workbench as you to a minimum of 0 pool and instant time. ● Eureka: If you have both the “Crude But Effective” AND“Whatcha-Ma-Call-It” racial skills then you can now use “Crude But Effective” for items up to Master tier, and it can be used five times per period for permanent items and seven times per period for consumable items. If you only have one of either “Crude But Effective” OR “Whatcha-Ma-Call-It,” then instead you may now use that ability three times per period for permanent items and five times per period for consumable items and may use it for up to Journeyman tier items if you couldn’t already do so."
Broodar,Races,,,,,,,,"Costuming: Tusks. ● Battle Buddies: You deal +1 damage with physical attacks for each ally with the “Warrior” Apprentice Title within a 10-foot radius of you (not including yourself). For each allied “Warrior” that is also a Gork, you deal +2 damage instead. Click For Table of Contents"
Skullduggers,Races,,,,,,,,"Costuming: Long nose. ● Junkyard Assault: Once per period, you mash together a bunch of junk into a deadly weapon. Requires the Marksman fighting style and components. You get to do 1 strike with a packet that deals +1 damage for every component that you expend, to a maximum of 30 components spent in this way. If at-least 10 components are spent on this attack, then the attack is augmented with “Greater” for free. If at least 10 Very Rare Components are spent on this attack, then the attack is augmented with “Epic” for free."
● The Gang Green,Races,,,,,,,,"Spend at least 1 minute discussing tactics with up to 2 characters that have the “Scout” Apprentice Title. While within 20 feet of each other, you and the other character(s) involved do +5 physical damage when striking targets in the back of the torso for the rest of the period. If at-least one of the other characters is a Gork, then you (and only you) gain an efficiency with offensive feats when striking targets in the back for the rest of the period. ● Jack in a Box: Once per period, when affected by stun, paralyze, incapacitate, or Constrict, you can choose to cure yourself of those effects at any point during their duration and instantly gain 1 use of “Surprise” that you can affix to an attack or feat that can be used, regardless of the angle you attack from. You must use the surprise within 5 seconds of curing the effect, otherwise it fades."
● Natural Leader,Races,,,,,,,,"You can designate up to five individuals which are considered under your leadership. Once per period, you can boost your group (if they are all together) by RPing with them for 1 minute. Your group is now immune to mental effects and gain a Steam efficiency of 1. Duration: 30 minutes. (Starran)."
Sunarian,Races,,,,,,,,"Costuming: Yellow or Gold sun mark on face. ● Mark of the Sun: You gain a Steam Efficiency ● Prowess of the Master: Choose any 1 Master tier or lower feat in the Combat or Guile category and gain it for free. Pre-reqs don’t apply. ● Muscle Burn: Once per period, the Sunarian can exert their physical body to become temporarily stronger. By expending 1 Steam, you can raise your strength level by +1 for 5 minutes. This skill can be stacked to increase your strength by +1 for each point of Steam spent, up to a maximum of 8. However, the duration of 5 minutes still applies. Efficiencies and Deficiencies do not apply."
Muntari,Races,,,,,,,,"Costuming: Blue or Silver moon mark on face. ● Mark of the Moon: You gain an Aether Efficiency ● Magic of the Master: Choose any 1 Master tier or lower spell in the Arcane category and gain it for free. Pre- reqs don’t apply. ● Astral Walk: Once per period, you can go completely into the astral realm. This can be done for up to 15 minutes but can be ended at will. While in the astral realm, you count as being “Ethereal.” Additionally, while ethereal you can spend 3 Aether or Steam at will to become invisible for 1 minute. Requires a Blue Glow."
Starran,Races,,,,,,,,Costuming: Black or Purple star mark on face. ● Mark of the Star: You gain a Talent Time Efficiency of 1 minute to a minimum of 1 minute. ● Skill of the Master: Choose 1 Master tier or lower talent in any category and gain it for free. Pre-reqs don’t Click For Table of Contents
● Diplomatic Resolution,Races,,,,,,,,"Once per period, you can command the attention of everyone within line of effect. For five minutes, those affected must listen to you. After every minute, you may choose 1 listener and affect them with “implant command,” giving them a single order or suggestion of your choice. This skill counts as a single Greater mind effect."
"During your transformation, you gain",Races,,,,,,,,". • +20 Vaea, +10 Steam, and +1 Strength."
▪ Level 10: Rushdown,Races,,,,4,,,,"Traverse 10 steps. At the end of the traverse, you may use Trip for free even if you do not know it."
▪ Level 10: Bear Hug,Races,,,,3,,,,"Strike a target in the torso with a melee attack. The target becomes Constricted for as long as your weapon maintains contact with their torso and while you maintain Concentration. Additionally, they take Direct Astral damage equal to your Strength every 5 seconds."
▪ Level 15: Ravage,Races,,,,4,,,,". For 1 minute, the target is affected by Hamstring and takes 1 Direct Astral damage per step they take."
▪ Level 15: Chomp,Races,,,,4,,,,"Strike a target’s limb. Target’s limb is Severed. You can then choose to focus on eating the limb for 10 seconds. If you do, heal 10 Vaea. ▪ Level 20: Hunting Tricks: You gain the Dodge feat from Apprentice Guile as well as the effect of one purchase of Bag of Tricks of your choice each time you shift. ▪ Level 20: Smash (To Use: 5 Steam). Strike an object or a ward. Causes Sunder 4 on the struck object or dispels the struck ward if it has a level equal to or less than your own."
▪ Level 25: Eviscerate,Races,,,,6,,,,. Surprise attack. Must be delivered from behind. Deals 20 Direct Astral damage and causes Bleed. ▪ Level 25: Impervious: You gain the Impervious feat from Master Juggernaut.
● Wyld-hide Blessing,Races,,,,,,,,"While un-shifted, spend 1 minute marking up to 3 items (a half-suit of armor counts as one item and a full-suit counts as two). If you have these items while you shift, they merge and become a part of you. While shifted, you gain all passive effects granted by the items, as if the items are properly equipped (even if you normally wouldn’t have enough hands to equip them all at once). Any activated, invokable, or per period/event abilities or functions of the item requiring physical manipulation do not function. Weapons apply their properties and other passive effects (except for their base damage) to your claws and suits of armor apply their armor rating, properties, and other passive effects to you, following armor layering rules normally. You may use the Hardness of a weapon marked this way for the purposes of causing Sunder instead of your claws. (Warg). ● Moon’s Might: Once per event, you may invoke this ability to transform into your shifted form for 15 minutes. The time it takes to shift is equal to how long it takes you to put on the appropriate costuming, as is the time it takes to unshift afterwards. (Dreadbourne)"
Alpha,Races,,,,,,,,"Costuming: 3 red scar lines from both eyes while shifted and unshifted. ● Alpha’s Control: You may choose to shift and unshift at will for any amount of time, including during full moons. The time it takes to do so is equal to the time it takes to change costuming. By spending 1 minute of RP, you can force any shifted lycanthrope to un-shift. If you are in a pack, you may also use this ability to force one other lycanthrope in your pack to shift for 30 minutes or until something unshifts them. This counts as a Mind effect and may be defended against as such. This ability is weaker if used during the full moon: If used to try and unshift anyone during a full moon, the target chooses whether they want to be unshifted or not, bypassing the need for using defenses. Once complete call: “Alpha’s Control. Shift/Unshift. Mind Effect.” ● Team Work: You can create a pack as per Pack Mentality. If you already have Pack Mentality, you can have +2 total pack members. You can use Protect with Intercede at a cost of 2 Steam to protect pack members. In addition, while shifted, you can choose a target at will and you and other pack members gain +2 melee damage against that target until you declare otherwise. ● Feral Gifts: Once per Period, choose 1 non-paragon lycanthrope racial ability or shifted feat that you or another pack member has. All pack members that do not already have it gain the chosen ability for the rest of the period. This benefit is only applied when the pack is within line of effect with each other. Additionally, if you have Taste of Control, you may spend 15 seconds RPing with a shifted lycanthrope to give them one use of each part of Taste of Control to be used within the current Period. You may only do this to each lycanthrope once per Period."
